~~~~~~~~~~~~Scoreboard~~~~~~~~~~~~
Date            Score        Name

06/15/21          1          Amy
 
06/14/21          1          Luke

06/14/21          1          Kirk

06/14/21          3          Emily

06/15/21          3          Eliza

06/15/21          2          Jake

06/15/21          1          Raymond

06/15/21          3          Rosa
